Day,Type,Money,Date,Month,Year,Num1,Num2,Num3,Num4,Num5,NumS
T6,Mega,22.185.507.500,25,6,2021,3,5,6,23,24,39
T4,Mega,20.526.628.000,23,6,2021,4,7,20,28,33,41
CN,Mega,18.982.427.000,20,6,2021,10,24,27,42,43,45
T6,Mega,17.563.534.000,18,6,2021,10,11,28,29,40,42
T4,Mega,16.164.413.000,16,6,2021,11,19,24,28,31,39
CN,Mega,14.815.632.000,13,6,2021,3,10,12,13,36,44
T6,Mega,13.438.632.000,11,6,2021,8,12,13,14,32,40
T4,Mega,29.292.855.500,9,6,2021,2,7,18,20,24,36
CN,Mega,27.467.427.500,6,6,2021,5,7,10,13,14,42
T6,Mega,25.695.873.500,4,6,2021,19,24,31,32,35,36
T4,Mega,23.915.617.500,2,6,2021,10,20,22,26,31,42
CN,Mega,22.221.494.500,30,5,2021,7,10,19,30,40,45
T6,Mega,20.863.349.000,28,5,2021,2,15,33,41,44,45
T4,Mega,19.252.692.500,26,5,2021,1,10,22,36,38,45
CN,Mega,17.658.371.500,23,5,2021,11,14,22,26,29,44
T6,Mega,16.169.239.000,21,5,2021,4,28,37,38,40,42
T4,Mega,14.639.616.500,19,5,2021,3,12,23,29,33,34
CN,Mega,13.202.141.000,16,5,2021,13,23,33,37,40,43
T6,Mega,13.242.112.000,14,5,2021,3,11,16,20,24,30
T4,Mega,70.068.418.000,12,5,2021,9,15,22,27,34,42
CN,Mega,63.700.477.500,9,5,2021,1,7,16,24,27,37
T6,Mega,58.038.778.500,7,5,2021,10,20,21,27,33,34
T4,Mega,52.338.709.000,5,5,2021,3,14,20,22,37,44
CN,Mega,47.209.898.500,2,5,2021,7,8,30,35,40,44
T6,Mega,42.764.126.500,30,4,2021,3,4,20,21,36,41
T4,Mega,38.903.466.000,28,4,2021,21,39,40,41,43,45
CN,Mega,34.931.499.000,25,4,2021,8,19,21,28,32,44
T6,Mega,31.264.325.500,23,4,2021,13,16,18,22,34,39
T4,Mega,27.861.050.500,21,4,2021,3,12,19,27,32,35
CN,Mega,26.021.983.000,18,4,2021,7,9,15,23,26,27
T6,Mega,24.454.960.500,16,4,2021,8,9,11,28,30,39
T4,Mega,22.996.078.000,14,4,2021,11,12,16,18,33,35
CN,Mega,21.251.858.000,11,4,2021,3,23,27,32,34,39
T6,Mega,19.524.873.000,9,4,2021,3,4,8,17,19,37
T4,Mega,18.118.581.500,7,4,2021,13,15,19,25,33,34
CN,Mega,16.652.715.000,4,4,2021,5,20,27,30,38,43
T6,Mega,15.060.673.000,2,4,2021,1,5,9,16,42,44
T4,Mega,13.536.495.500,31,3,2021,2,4,6,36,41,42
CN,Mega,23.503.378.500,28,3,2021,23,26,40,41,43,44
T6,Mega,21.504.845.500,26,3,2021,2,11,15,18,23,42
T4,Mega,19.644.598.000,24,3,2021,7,14,23,26,37,39
CN,Mega,17.995.687.000,21,3,2021,8,9,11,31,36,39
T6,Mega,16.456.035.000,19,3,2021,5,6,24,34,36,37
T4,Mega,14.817.761.000,17,3,2021,6,11,26,28,36,41
CN,Mega,13.364.217.000,14,3,2021,1,9,11,32,34,42
T6,Mega,40.180.868.000,12,3,2021,5,11,17,34,38,42
T4,Mega,37.799.084.500,10,3,2021,5,14,15,19,25,33
CN,Mega,35.534.020.000,7,3,2021,4,12,25,28,33,45
T6,Mega,33.427.077.500,5,3,2021,9,11,13,21,27,41
T4,Mega,31.633.445.000,3,3,2021,1,20,28,37,40,44
CN,Mega,29.467.504.000,28,2,2021,4,5,25,28,29,42
T6,Mega,27.697.196.500,26,2,2021,11,13,19,27,37,41
T4,Mega,25.868.493.000,24,2,2021,2,13,19,33,40,43
CN,Mega,23.887.950.500,21,2,2021,6,7,22,24,27,37
T6,Mega,21.767.678.000,19,2,2021,12,19,22,23,34,44
T4,Mega,20.047.161.500,17,2,2021,3,18,21,22,36,44
CN,Mega,18.057.569.500,14,2,2021,3,13,18,21,39,44
T4,Mega,16.640.737.500,10,2,2021,8,13,18,19,21,24
CN,Mega,14.949.740.500,7,2,2021,1,4,7,15,41,42
T6,Mega,13.433.505.000,5,2,2021,2,8,31,32,42,44
T4,Mega,24.820.198.500,3,2,2021,7,9,14,23,35,41
CN,Mega,23.187.996.000,31,1,2021,4,6,7,11,34,41
T6,Mega,21.357.120.500,29,1,2021,6,7,8,29,35,39
T4,Mega,19.736.887.000,27,1,2021,1,7,11,28,41,44
CN,Mega,17.985.612.000,24,1,2021,8,9,23,25,31,32
T6,Mega,16.469.103.000,22,1,2021,1,6,7,20,28,43
T4,Mega,14.904.372.000,20,1,2021,7,20,29,30,40,45
CN,Mega,13.432.888.000,17,1,2021,4,5,32,39,40,42
T6,Mega,13.284.139.000,15,1,2021,4,6,10,13,26,43
T4,Mega,19.778.012.000,13,1,2021,19,20,21,28,33,41
CN,Mega,18.016.946.500,10,1,2021,10,11,22,32,38,43
T6,Mega,16.509.836.500,8,1,2021,8,19,22,25,32,35
T4,Mega,15.043.389.000,6,1,2021,22,27,30,35,40,45
CN,Mega,13.599.620.500,3,1,2021,4,31,34,36,40,43
T6,Mega,100.379.870.000,1,1,2021,10,16,24,26,30,32
T4,Mega,93.092.703.500,30,12,2020,1,13,20,26,35,37
CN,Mega,85.542.628.500,27,12,2020,3,11,17,19,34,39
T6,Mega,79.257.983.500,25,12,2020,6,12,15,22,33,39
T4,Mega,73.587.193.000,23,12,2020,7,11,17,31,35,40
CN,Mega,67.862.170.500,20,12,2020,15,18,28,30,34,44
T6,Mega,62.918.148.000,18,12,2020,4,9,14,23,32,38
T4,Mega,58.449.750.000,16,12,2020,10,11,22,27,36,41
CN,Mega,53.778.716.000,13,12,2020,10,12,20,36,41,44
T6,Mega,49.475.568.500,11,12,2020,23,24,25,35,37,39
T4,Mega,45.377.214.000,9,12,2020,16,24,27,31,36,43
CN,Mega,41.344.297.000,6,12,2020,11,21,24,27,29,37
T6,Mega,37.621.514.500,4,12,2020,3,5,33,37,41,43
T4,Mega,34.216.388.000,2,12,2020,4,5,7,10,25,39
CN,Mega,32.487.853.000,29,11,2020,6,7,14,18,37,43
T6,Mega,30.862.326.500,27,11,2020,1,9,12,13,37,43
T4,Mega,29.360.095.000,25,11,2020,1,5,7,8,25,40
CN,Mega,27.655.191.500,22,11,2020,9,16,17,24,32,40
T6,Mega,26.126.425.000,20,11,2020,2,17,24,29,31,37
T4,Mega,24.618.929.000,18,11,2020,18,19,21,31,39,44
CN,Mega,23.148.689.500,15,11,2020,14,16,21,29,40,41
T6,Mega,21.632.894.500,13,11,2020,8,22,23,33,34,36
T4,Mega,20.122.882.500,11,11,2020,4,10,12,17,20,35
CN,Mega,18.724.109.500,8,11,2020,3,12,14,16,23,33
T6,Mega,17.496.992.000,6,11,2020,19,24,30,32,36,37
T4,Mega,16.175.474.000,4,11,2020,3,8,11,13,26,38
CN,Mega,15.227.119.000,1,11,2020,6,21,27,30,32,44
T6,Mega,14.044.809.000,30,10,2020,4,5,14,18,23,43
T4,Mega,13.017.582.500,28,10,2020,1,4,7,15,35,45
CN,Mega,15.469.693.500,25,10,2020,11,19,30,38,41,45
T6,Mega,14.262.597.000,23,10,2020,5,10,16,23,34,45
T4,Mega,13.214.173.000,21,10,2020,4,11,26,36,38,41
CN,Mega,24.736.948.000,18,10,2020,1,14,25,26,30,40
T6,Mega,23.175.596.500,16,10,2020,4,14,16,23,24,27
T4,Mega,21.714.617.500,14,10,2020,4,7,23,32,43,44
CN,Mega,20.556.242.500,11,10,2020,12,18,28,31,40,45
T6,Mega,19.233.191.500,9,10,2020,15,19,23,30,33,39
T4,Mega,17.933.889.000,7,10,2020,13,15,25,26,28,34
CN,Mega,16.586.431.000,4,10,2020,9,16,19,25,26,39
T6,Mega,15.499.943.500,2,10,2020,9,11,21,31,32,37
T4,Mega,14.253.385.000,30,9,2020,2,5,31,32,42,44
CN,Mega,13.062.466.000,27,9,2020,1,12,26,31,37,38
T6,Mega,39.137.122.000,25,9,2020,14,20,22,35,44,45
T4,Mega,35.907.292.500,23,9,2020,2,8,17,23,30,41
CN,Mega,32.667.127.000,20,9,2020,5,7,9,13,15,16
T6,Mega,31.378.564.000,18,9,2020,10,19,21,23,27,33
T4,Mega,29.847.296.500,16,9,2020,5,20,29,30,38,40
CN,Mega,28.258.554.000,13,9,2020,20,23,28,37,40,44
T6,Mega,26.560.368.000,11,9,2020,4,11,13,16,17,33
T4,Mega,25.062.356.000,9,9,2020,19,21,34,35,36,39
CN,Mega,23.500.560.000,6,9,2020,1,6,19,29,31,44
T6,Mega,22.097.628.000,4,9,2020,7,16,20,30,40,41
T4,Mega,20.638.279.000,2,9,2020,8,10,14,16,18,24
CN,Mega,19.318.430.000,30,8,2020,6,8,18,19,29,33
T6,Mega,18.106.010.500,28,8,2020,10,11,14,23,27,37
T4,Mega,16.963.660.000,26,8,2020,2,18,24,28,35,42
CN,Mega,15.667.908.000,23,8,2020,10,14,19,25,36,39
T6,Mega,14.448.262.000,21,8,2020,7,8,26,30,37,43
T4,Mega,13.211.329.500,19,8,2020,7,20,36,37,43,45
CN,Mega,17.198.203.500,16,8,2020,2,5,6,20,33,39
T6,Mega,15.762.353.000,14,8,2020,9,18,21,24,34,41
T4,Mega,14.457.721.000,12,8,2020,7,21,34,38,43,44
CN,Mega,13.221.947.500,9,8,2020,11,13,14,43,44,45
T6,Mega,70.360.287.500,7,8,2020,17,26,35,40,43,44
T4,Mega,65.070.796.000,5,8,2020,14,18,19,32,33,38
CN,Mega,60.108.410.500,2,8,2020,6,9,12,17,41,42
T6,Mega,55.804.881.000,31,7,2020,4,9,19,29,36,41
T4,Mega,51.471.624.500,29,7,2020,6,14,26,41,42,43
CN,Mega,47.551.547.500,26,7,2020,5,15,21,39,43,45
T6,Mega,44.043.448.000,24,7,2020,4,25,31,35,39,41
T4,Mega,40.417.844.000,22,7,2020,9,13,18,24,26,42
CN,Mega,36.823.607.000,19,7,2020,1,13,14,19,42,45
T6,Mega,33.354.961.500,17,7,2020,4,10,18,20,32,45
T4,Mega,30.337.936.500,15,7,2020,10,11,18,19,20,45
CN,Mega,27.309.454.000,12,7,2020,2,15,21,27,31,35
T6,Mega,24.662.886.500,10,7,2020,18,20,22,33,35,39
T4,Mega,23.096.788.500,8,7,2020,14,15,17,21,31,38
CN,Mega,21.412.184.000,5,7,2020,5,8,10,17,22,31
T6,Mega,19.920.010.500,3,7,2020,4,5,17,18,22,36
T4,Mega,18.717.334.500,1,7,2020,10,13,14,26,32,33
CN,Mega,17.173.729.000,28,6,2020,4,15,24,36,37,41
T6,Mega,15.917.912.500,26,6,2020,9,23,27,30,38,41
T4,Mega,14.614.719.000,24,6,2020,7,17,18,32,39,40
CN,Mega,13.220.130.500,21,6,2020,7,9,13,33,40,44
T6,Mega,91.368.222.000,19,6,2020,4,12,17,19,32,45
T4,Mega,84.946.818.500,17,6,2020,7,16,28,33,34,45
CN,Mega,78.571.404.000,14,6,2020,19,22,24,41,44,45
T6,Mega,73.475.094.000,12,6,2020,5,16,22,27,30,31
T4,Mega,68.049.543.000,10,6,2020,2,11,23,25,26,35
CN,Mega,62.815.156.500,7,6,2020,6,7,11,16,23,44
T6,Mega,58.798.582.000,5,6,2020,10,13,22,28,38,43
T4,Mega,54.279.268.000,3,6,2020,1,15,17,19,40,43
CN,Mega,49.640.083.000,31,5,2020,1,6,13,27,35,40
T6,Mega,45.537.563.500,29,5,2020,4,10,23,26,35,37
T4,Mega,41.676.491.500,27,5,2020,6,15,29,30,37,42
CN,Mega,37.678.580.500,24,5,2020,1,29,30,32,34,35
T6,Mega,33.938.516.000,22,5,2020,3,8,19,28,35,41
T4,Mega,32.194.354.500,20,5,2020,1,8,15,23,25,39
CN,Mega,30.660.959.000,17,5,2020,2,4,21,30,33,37
T6,Mega,28.926.318.500,15,5,2020,3,12,13,28,33,36
T4,Mega,27.388.276.500,13,5,2020,6,20,21,35,40,45
CN,Mega,25.796.746.500,10,5,2020,7,9,23,32,33,37
T6,Mega,24.151.984.500,8,5,2020,1,3,7,12,22,25
T4,Mega,22.721.676.000,6,5,2020,3,18,25,29,30,44
CN,Mega,21.141.122.000,3,5,2020,5,18,29,32,38,44
T6,Mega,19.664.130.500,1,5,2020,6,7,16,37,40,44
T4,Mega,18.366.851.000,29,4,2020,1,8,11,13,15,32
CN,Mega,16.901.292.000,26,4,2020,5,25,30,36,37,41
T6,Mega,15.554.413.500,24,4,2020,10,31,37,39,40,43
CN,Mega,14.287.347.500,29,3,2020,7,10,23,36,39,44
T6,Mega,13.089.171.500,27,3,2020,1,6,10,35,36,45
T4,Mega,15.800.249.000,25,3,2020,26,31,33,37,38,45
CN,Mega,14.394.846.500,22,3,2020,2,10,19,22,24,29
T6,Mega,13.176.623.000,20,3,2020,8,23,29,37,39,44
T4,Mega,62.684.211.000,18,3,2020,6,21,30,37,38,45
CN,Mega,57.959.783.500,15,3,2020,4,7,11,17,19,31
T6,Mega,53.983.116.000,13,3,2020,8,13,20,28,35,45
T4,Mega,50.186.438.500,11,3,2020,12,16,29,35,37,44
CN,Mega,46.265.120.000,8,3,2020,3,13,17,19,21,43
T6,Mega,42.660.497.500,6,3,2020,6,9,10,16,26,42
T4,Mega,39.345.173.500,4,3,2020,1,7,17,24,35,41
CN,Mega,36.055.064.000,1,3,2020,1,6,7,13,26,39
T6,Mega,32.941.839.000,28,2,2020,2,19,23,27,29,38
T4,Mega,29.761.306.500,26,2,2020,2,10,12,20,24,39
CN,Mega,26.980.902.000,23,2,2020,1,6,16,23,34,42
T6,Mega,24.507.303.500,21,2,2020,13,15,22,28,29,41
T4,Mega,22.971.905.500,19,2,2020,1,16,23,25,30,38
CN,Mega,21.451.490.000,16,2,2020,1,4,14,36,37,41
T6,Mega,19.896.006.000,14,2,2020,4,14,24,32,36,43
T4,Mega,18.686.469.000,12,2,2020,5,13,16,20,24,35
CN,Mega,17.272.512.500,9,2,2020,1,4,18,22,26,35
T6,Mega,15.894.979.500,7,2,2020,6,11,15,33,40,44
T4,Mega,14.716.702.500,5,2,2020,9,19,24,37,38,45
CN,Mega,13.410.590.500,2,2,2020,1,4,16,32,35,38
T6,Mega,39.393.760.000,31,1,2020,8,9,20,25,30,40
T4,Mega,35.767.812.500,29,1,2020,3,10,16,24,39,44
CN,Mega,32.663.745.000,26,1,2020,4,5,9,25,33,37
T4,Mega,29.298.454.500,22,1,2020,1,15,16,34,36,42
CN,Mega,25.510.108.000,19,1,2020,1,4,19,25,35,39
T6,Mega,23.200.768.000,17,1,2020,8,26,28,37,40,42
T4,Mega,21.510.758.000,15,1,2020,2,8,19,31,38,44
CN,Mega,19.872.112.500,12,1,2020,7,12,17,21,35,45
T6,Mega,18.509.904.500,10,1,2020,10,18,24,35,41,43
T4,Mega,17.008.985.000,8,1,2020,2,4,10,21,25,43
CN,Mega,15.550.849.500,5,1,2020,5,11,12,26,44,45
T6,Mega,14.655.615.000,3,1,2020,1,15,17,26,32,44
T4,Mega,13.312.067.500,1,1,2020,8,10,23,26,37,38
CN,Mega,57.045.118.500,29,12,2019,7,12,21,24,35,43
T6,Mega,52.865.508.000,27,12,2019,2,7,10,12,33,43
T4,Mega,48.452.999.500,25,12,2019,10,18,25,26,36,43
CN,Mega,44.243.846.500,22,12,2019,9,10,11,18,22,36
T6,Mega,40.443.194.000,20,12,2019,1,9,16,27,38,45
T4,Mega,37.173.295.000,18,12,2019,8,9,12,19,22,25
CN,Mega,35.603.542.000,15,12,2019,3,13,15,16,22,36
T6,Mega,33.790.460.500,13,12,2019,2,8,9,25,26,40
T4,Mega,32.090.856.500,11,12,2019,1,2,8,27,29,39
CN,Mega,30.329.123.500,8,12,2019,12,20,30,31,34,44
T6,Mega,28.546.624.000,6,12,2019,2,20,26,35,43,45
T4,Mega,26.950.480.500,4,12,2019,16,19,24,30,32,35
CN,Mega,25.377.089.500,1,12,2019,3,14,16,27,31,35
T6,Mega,23.737.598.500,29,11,2019,14,15,16,17,19,34
T4,Mega,22.213.329.000,27,11,2019,3,5,13,19,20,33
CN,Mega,20.885.667.500,24,11,2019,5,21,24,28,29,34
T6,Mega,19.423.681.500,22,11,2019,1,9,10,19,30,38
T4,Mega,18.300.224.000,20,11,2019,10,21,22,24,43,44
CN,Mega,16.908.131.500,17,11,2019,6,7,14,31,39,44
