,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
726,20002,04,09,14,15,16,29,11
727,20001,02,15,23,26,29,30,02
728,19151,02,06,09,18,24,26,14
729,19150,02,09,14,22,27,29,02
730,19149,01,06,27,28,31,33,07
731,19148,09,10,13,20,26,27,08
732,19147,01,09,12,14,23,27,12
733,19146,01,04,10,12,30,32,14
734,19145,01,08,13,17,18,19,16
735,19144,02,12,15,19,27,30,03
736,19143,05,13,15,16,26,32,09
737,19142,08,14,24,27,29,33,09
738,19141,10,13,14,15,17,33,14
739,19140,02,04,09,11,14,22,05
740,19139,08,14,20,23,30,33,11
741,19138,02,06,12,30,31,32,11
742,19137,07,10,13,19,23,31,06
743,19136,12,14,15,17,29,33,12
744,19135,03,06,10,11,27,33,03
745,19134,01,04,06,22,29,30,03
746,19133,03,07,16,21,24,31,07
747,19132,04,06,11,14,19,33,07
748,19131,09,17,19,20,24,31,04
749,19130,01,07,09,11,24,32,16
750,19129,03,04,07,09,15,26,07
751,19128,03,08,12,16,17,19,08
752,19127,02,06,07,12,17,24,10
753,19126,02,14,17,29,32,33,16
754,19125,02,11,12,26,27,29,03
755,19124,04,09,30,31,32,33,01
756,19123,02,06,08,17,28,30,06
757,19122,04,10,15,19,21,23,02
758,19121,02,06,15,21,30,31,02
759,19120,10,12,27,31,32,33,03
760,19119,04,20,22,24,26,33,07
761,19118,12,14,15,25,28,31,04
762,19117,03,05,11,28,32,33,01
763,19116,01,08,09,13,16,33,01
764,19115,04,10,11,14,15,29,05
765,19114,02,04,09,11,12,30,01
766,19113,01,05,19,21,25,33,15
767,19112,03,12,14,17,23,27,01
768,19111,07,18,20,22,24,33,01
769,19110,01,18,22,26,27,28,08
770,19109,03,06,07,17,28,31,10
771,19108,07,13,19,22,25,32,13
772,19107,02,06,08,23,27,32,02
773,19106,02,14,22,27,30,33,14
774,19105,02,13,15,17,26,33,01
775,19104,01,05,16,17,18,24,10
776,19103,04,12,14,21,27,29,12
777,19102,03,08,12,16,20,32,12
778,19101,01,04,09,21,31,33,05
779,19100,01,04,12,13,30,32,08
780,19099,07,14,22,23,27,30,08
781,19098,03,11,12,14,17,26,09
782,19097,03,05,18,24,25,31,09
783,19096,05,07,12,18,27,32,11
784,19095,02,05,14,19,21,28,01
785,19094,05,10,12,18,19,27,06
786,19093,05,07,08,09,20,22,02
787,19092,09,17,27,28,32,33,08
788,19091,07,10,21,24,29,32,11
789,19090,02,03,06,08,14,22,04
790,19089,02,04,14,16,20,22,11
791,19088,13,14,15,21,23,29,13
792,19087,04,05,07,09,21,30,04
793,19086,16,22,24,26,28,31,06
794,19085,01,04,14,18,24,29,04
795,19084,04,08,14,18,20,27,03
796,19083,06,15,17,26,28,31,03
797,19082,07,16,19,22,24,28,02
798,19081,05,24,27,29,31,32,10
799,19080,03,06,08,20,24,32,07
800,19079,01,03,06,09,19,31,16
801,19078,01,17,27,29,31,33,12
802,19077,09,11,13,18,21,22,15
803,19076,12,15,19,20,29,32,14
804,19075,05,08,20,22,31,33,03
805,19074,12,21,27,29,31,33,04
806,19073,01,02,06,12,16,18,08
807,19072,02,09,13,15,22,30,15
808,19071,01,08,19,24,29,30,04
809,19070,06,15,18,19,24,32,09
810,19069,06,11,16,19,21,25,01
811,19068,03,14,20,24,26,33,10
812,19067,04,06,08,11,30,33,11
813,19066,01,14,17,20,22,32,04
814,19065,06,09,11,15,20,26,10
815,19064,12,20,24,25,30,33,12
816,19063,01,14,19,22,29,31,16
817,19062,07,13,16,23,26,30,01
818,19061,03,17,19,24,27,31,12
819,19060,03,04,14,20,23,27,01
820,19059,04,05,07,09,16,18,06
821,19058,07,08,12,21,23,27,12
822,19057,04,05,06,08,13,18,16
823,19056,13,14,17,19,21,29,01
824,19055,01,06,11,15,19,31,10
825,19054,07,10,11,15,24,26,11
826,19053,04,16,22,25,29,31,08
827,19052,03,06,09,13,16,19,16
828,19051,08,09,10,13,15,28,09
829,19050,04,06,10,11,21,23,02
830,19049,03,10,13,22,23,28,15
831,19048,03,07,10,12,18,29,10
832,19047,03,11,18,25,30,33,14
833,19046,02,12,16,22,25,32,06
834,19045,01,06,17,19,27,31,14
835,19044,06,14,16,17,23,29,07
836,19043,01,06,12,13,24,32,13
837,19042,15,17,19,22,25,26,04
838,19041,02,09,13,23,24,26,16
839,19040,05,06,09,18,23,31,11
840,19039,06,07,11,14,27,32,08
841,19038,09,12,21,27,29,30,05
842,19037,01,07,12,14,18,25,10
843,19036,02,10,13,16,23,32,08
844,19035,01,05,07,09,10,20,16
845,19034,09,11,15,22,24,26,03
846,19033,09,15,19,21,23,29,15
847,19032,04,08,09,13,28,33,04
848,19031,03,13,15,18,21,33,16
849,19030,04,05,07,10,12,22,16
850,19029,08,11,17,23,32,33,10
851,19028,04,19,22,26,29,30,11
852,19027,02,06,08,10,11,17,13
853,19026,03,13,15,19,20,27,14
854,19025,15,16,21,27,30,33,04
855,19024,01,08,23,25,28,29,10
856,19023,01,10,14,15,18,31,13
857,19022,03,07,11,21,30,33,07
858,19021,02,05,07,08,20,27,04
859,19020,02,12,13,23,27,28,12
860,19019,03,11,17,18,24,25,06
861,19018,04,11,18,19,26,32,04
862,19017,04,05,24,28,30,33,09
863,19016,05,07,09,11,19,25,05
864,19015,11,15,16,20,24,31,04
865,19014,01,02,03,14,19,33,03
866,19013,05,07,14,16,18,21,01
867,19012,07,10,21,23,31,33,14
868,19011,10,13,19,21,24,30,07
869,19010,02,04,05,08,11,30,02
870,19009,01,07,10,22,31,32,15
871,19008,02,06,09,13,28,32,12
872,19007,06,10,14,15,19,23,15
873,19006,01,05,10,19,26,28,12
874,19005,21,22,26,28,31,32,07
875,19004,08,12,16,19,26,32,03
876,19003,13,17,20,21,22,27,01
877,19002,04,05,06,08,09,18,11
878,19001,06,10,13,15,32,33,15
879,18153,01,07,17,23,25,31,11
880,18152,04,14,16,23,28,29,03
881,18151,05,15,19,25,26,29,15
882,18150,06,08,15,19,20,31,05
883,18149,01,07,08,10,12,24,01
884,18148,03,06,18,19,21,31,01
885,18147,03,15,17,23,27,30,11
886,18146,02,10,11,17,18,29,16
887,18145,03,09,13,22,23,25,06
888,18144,08,13,17,18,20,27,13
889,18143,04,06,15,28,32,33,14
890,18142,05,08,10,11,27,28,11
891,18141,11,14,16,18,24,33,04
892,18140,01,15,20,22,25,28,14
893,18139,11,18,20,23,31,32,15
894,18138,01,10,25,27,30,32,09
895,18137,03,05,11,15,20,23,09
896,18136,10,12,15,25,26,27,14
897,18135,01,03,06,10,11,29,16
898,18134,03,16,18,31,32,33,12
899,18133,02,04,11,12,18,32,13
900,18132,01,02,09,10,15,22,06
901,18131,21,22,24,31,32,33,01
902,18130,05,12,17,18,24,28,12
903,18129,02,04,06,16,18,19,16
904,18128,06,07,08,19,22,23,02
905,18127,02,05,06,07,11,15,12
906,18126,01,06,08,09,14,22,05
907,18125,03,10,11,14,15,32,02
908,18124,09,13,14,19,22,25,02
909,18123,13,21,24,27,31,32,01
910,18122,05,07,20,22,30,32,10
911,18121,06,08,14,19,23,25,11
912,18120,03,04,18,26,27,33,01
913,18119,03,13,14,16,25,27,12
914,18118,08,12,21,22,27,31,09
915,18117,08,11,15,17,23,25,05
916,18116,05,14,17,22,23,28,15
917,18115,01,13,19,24,26,29,11
918,18114,01,07,15,16,20,27,14
919,18113,01,06,09,16,25,26,09
920,18112,05,08,18,25,26,31,04
921,18111,01,07,14,24,25,28,08
922,18110,11,13,16,21,22,23,02
923,18109,10,11,18,23,31,33,15
924,18108,05,13,18,21,26,30,02
925,18107,01,02,05,12,20,22,01
926,18106,04,18,19,24,25,26,10
927,18105,04,05,13,18,19,25,01
928,18104,02,03,06,19,25,29,01
929,18103,02,09,15,22,23,24,16
930,18102,02,06,11,19,21,28,05
931,18101,01,03,14,26,29,33,09
932,18100,02,11,14,15,29,33,02
933,18099,03,07,08,14,25,32,06
934,18098,06,10,11,20,29,32,13
935,18097,01,02,17,20,25,28,13
936,18096,01,05,09,20,28,32,12
937,18095,10,11,12,21,26,33,09
938,18094,04,07,16,20,24,30,05
939,18093,04,18,20,21,29,33,07
940,18092,06,10,16,19,24,33,16
941,18091,06,11,13,17,25,32,07
942,18090,01,02,04,10,14,23,07
943,18089,06,09,12,14,18,27,14
944,18088,03,05,12,29,30,32,14
945,18087,01,05,10,16,18,31,03
946,18086,02,07,17,21,23,26,16
947,18085,04,10,25,26,30,33,06
948,18084,05,06,08,12,22,24,03
949,18083,04,09,18,21,32,33,03
950,18082,06,12,14,20,22,24,09
951,18081,01,02,12,16,20,26,03
952,18080,04,07,13,20,29,33,03
953,18079,14,15,17,22,24,29,13
954,18078,03,10,14,17,18,30,12
955,18077,02,05,09,15,20,24,10
956,18076,03,07,08,15,29,30,13
957,18075,07,09,12,13,22,24,11
958,18074,09,11,14,20,27,30,09
959,18073,02,09,14,15,16,23,10
960,18072,11,16,19,22,25,30,08
961,18071,02,05,06,13,16,19,03
962,18070,04,09,15,16,19,27,10
963,18069,06,13,17,19,23,31,12
964,18068,08,10,17,20,27,30,01
965,18067,01,04,09,12,15,18,05
966,18066,09,16,17,19,22,26,10
967,18065,01,04,06,14,28,33,01
968,18064,02,05,10,11,17,21,05
969,18063,05,06,10,16,20,25,12
970,18062,02,18,19,24,25,33,11
971,18061,09,10,11,12,18,23,07
972,18060,04,08,13,25,30,31,10
973,18059,04,06,08,13,22,32,11
974,18058,07,12,13,16,26,31,07
975,18057,05,15,17,19,20,30,13
976,18056,01,03,06,20,21,26,01
977,18055,07,09,10,12,22,26,07
978,18054,04,06,18,22,25,33,16
979,18053,01,04,10,11,14,27,06
980,18052,03,05,06,09,15,32,14
981,18051,05,07,20,23,27,31,04
982,18050,01,02,04,10,18,19,07
983,18049,01,03,04,11,19,23,02
984,18048,01,12,20,25,30,31,02
985,18047,06,07,12,16,22,25,07
986,18046,10,13,14,18,20,31,03
987,18045,03,04,06,25,26,30,01
988,18044,05,09,12,17,27,30,06
989,18043,01,04,06,08,21,24,07
990,18042,06,10,21,28,29,31,12
991,18041,07,08,20,23,24,32,13
992,18040,01,03,08,13,18,23,16
993,18039,08,12,18,19,23,32,03
994,18038,15,23,24,25,28,29,09
995,18037,01,06,07,08,27,30,10
996,18036,08,17,24,26,28,33,04
997,18035,07,10,11,17,23,28,15
998,18034,01,05,11,22,23,26,15
999,18033,04,19,20,22,28,33,06
1000,18032,21,22,23,24,25,32,06
1001,18031,02,16,18,19,27,30,14
1002,18030,13,14,20,21,25,33,07
1003,18029,01,02,09,14,22,25,05
1004,18028,03,08,11,14,18,23,16
1005,18027,02,07,09,14,18,28,05
1006,18026,04,07,12,14,26,32,04
1007,18025,04,13,16,19,21,25,14
1008,18024,11,19,22,26,31,32,02
1009,18023,12,15,16,21,26,29,16
1010,18022,07,14,19,21,22,23,03
1011,18021,03,04,06,11,23,28,14
1012,18020,06,09,10,14,28,30,05
1013,18019,03,11,12,16,21,23,09
1014,18018,02,12,13,18,25,27,07
1015,18017,03,06,11,26,30,32,12
1016,18016,01,11,12,18,25,27,16
1017,18015,11,15,20,21,26,33,15
1018,18014,09,12,20,24,28,31,07
1019,18013,06,08,13,15,22,33,06
1020,18012,11,12,13,19,26,28,12
1021,18011,03,10,21,23,27,33,11
1022,18010,01,08,17,20,21,22,03
1023,18009,05,10,17,23,26,32,07
1024,18008,05,09,10,12,17,19,13
1025,18007,13,14,20,25,27,31,12
1026,18006,02,07,08,09,17,29,11
1027,18005,02,20,21,28,31,33,06
1028,18004,14,18,19,26,30,31,11
1029,18003,01,14,16,17,20,31,04
1030,18002,07,18,24,29,31,33,16
1031,18001,01,08,11,26,28,31,04
1032,17154,05,09,13,15,18,26,05
1033,17153,07,11,12,13,18,19,16
1034,17152,06,10,23,25,26,29,05
1035,17151,02,05,07,09,11,27,16
1036,17150,06,14,19,20,21,23,08
1037,17149,05,08,15,20,27,30,13
1038,17148,04,07,11,14,29,32,12
1039,17147,03,07,20,21,25,31,14
1040,17146,01,19,25,26,27,33,10
1041,17145,02,06,12,17,25,28,12
1042,17144,03,14,16,20,31,32,09
1043,17143,04,06,09,14,20,29,14
1044,17142,08,13,14,18,23,33,06
1045,17141,01,06,07,11,13,15,05
1046,17140,21,22,25,28,29,30,08
1047,17139,02,14,20,24,28,32,16
1048,17138,01,17,24,28,32,33,02
1049,17137,05,10,20,23,26,31,03
1050,17136,03,07,10,18,21,24,12
1051,17135,01,06,07,14,18,26,16
1052,17134,04,05,11,14,28,32,04
1053,17133,06,15,17,18,23,30,11
1054,17132,02,03,05,09,13,28,11
1055,17131,01,07,10,11,26,27,11
1056,17130,05,13,14,23,25,31,02
1057,17129,05,06,09,14,21,33,02
1058,17128,02,06,13,22,29,31,08
1059,17127,14,15,21,24,27,32,12
1060,17126,01,16,17,21,27,30,16
1061,17125,01,14,23,25,29,30,03
1062,17124,02,06,11,26,28,29,03
1063,17123,04,05,06,11,21,31,10
1064,17122,11,20,21,22,24,27,15
1065,17121,11,18,19,22,24,32,07
1066,17120,08,10,15,19,23,28,16
1067,17119,09,16,21,25,26,31,14
1068,17118,08,09,15,22,30,33,16
1069,17117,01,02,08,11,14,21,09
1070,17116,02,14,20,22,30,32,02
1071,17115,04,10,11,25,30,31,01
1072,17114,06,12,13,15,18,26,13
1073,17113,04,06,16,27,29,33,05
1074,17112,03,10,14,16,22,23,11
1075,17111,05,10,17,19,29,32,12
1076,17110,01,03,12,15,19,23,14
1077,17109,08,14,16,18,21,23,16
1078,17108,07,12,14,15,17,20,01
1079,17107,08,09,15,17,30,32,06
1080,17106,12,15,20,25,27,31,02
1081,17105,03,06,07,12,25,26,07
1082,17104,01,14,15,20,23,30,14
1083,17103,01,21,23,25,31,33,01
1084,17102,04,08,10,14,18,20,11
1085,17101,01,04,11,28,31,32,16
1086,17100,04,07,08,18,23,24,02
1087,17099,02,05,06,16,28,29,04
1088,17098,04,19,22,27,30,33,01
1089,17097,05,10,18,19,30,31,03
1090,17096,02,06,11,12,19,29,06
1091,17095,09,10,12,19,22,29,16
1092,17094,08,11,13,19,28,31,06
1093,17093,07,08,09,15,22,27,12
1094,17092,10,18,19,29,32,33,09
1095,17091,05,07,10,23,28,29,03
1096,17090,01,07,10,16,22,33,09
1097,17089,11,12,13,16,23,25,12
1098,17088,07,09,18,22,23,29,06
1099,17087,03,06,13,14,19,28,06
1100,17086,03,05,06,13,20,22,07
1101,17085,01,05,06,16,25,30,09
1102,17084,01,05,11,20,22,24,02
1103,17083,03,08,14,20,24,26,12
1104,17082,14,18,21,25,28,29,10
1105,17081,03,05,14,25,26,30,05
1106,17080,01,12,16,20,22,24,08
1107,17079,03,07,14,23,25,27,08
1108,17078,05,07,18,19,22,24,16
1109,17077,01,02,04,15,17,22,14
1110,17076,01,04,08,09,14,15,13
1111,17075,01,03,06,19,21,29,07
1112,17074,02,06,16,23,30,31,02
1113,17073,03,06,16,23,26,30,14
1114,17072,06,11,14,23,26,30,02
1115,17071,02,03,06,14,31,32,03
1116,17070,01,06,14,22,25,26,12
1117,17069,02,11,12,23,29,31,05
1118,17068,02,06,10,22,30,31,15
1119,17067,01,03,04,10,18,29,04
1120,17066,01,04,06,17,19,26,03
1121,17065,02,05,08,10,12,21,07
1122,17064,02,10,16,22,24,28,15
1123,17063,12,16,20,22,25,31,04
1124,17062,01,07,22,24,26,31,10
1125,17061,06,07,12,20,26,27,11
1126,17060,05,10,13,24,26,31,04
1127,17059,04,08,09,15,19,25,09
1128,17058,01,09,13,22,28,32,11
1129,17057,18,20,22,23,30,31,16
1130,17056,13,14,18,19,21,28,06
1131,17055,07,12,13,20,24,31,05
1132,17054,02,03,09,23,28,33,08
1133,17053,04,09,11,15,29,31,06
1134,17052,07,08,18,24,29,31,07
1135,17051,02,05,09,15,24,25,11
1136,17050,10,12,20,24,27,29,07
1137,17049,01,08,14,15,20,29,10
1138,17048,05,08,09,14,15,19,07
1139,17047,02,05,08,10,32,33,02
1140,17046,04,13,14,23,26,32,10
1141,17045,05,07,16,20,21,25,05
1142,17044,08,16,19,21,31,32,06
1143,17043,08,13,16,23,27,31,08
1144,17042,01,02,04,07,10,23,04
1145,17041,04,10,13,15,22,27,04
1146,17040,15,19,23,28,29,33,04
1147,17039,02,04,12,14,17,24,15
1148,17038,01,04,08,13,24,27,05
1149,17037,11,15,20,22,25,30,05
1150,17036,01,02,05,10,24,27,15
1151,17035,01,06,14,24,28,32,12
1152,17034,04,07,08,19,32,33,13
1153,17033,05,07,15,20,23,30,15
1154,17032,05,08,15,24,27,31,11
1155,17031,06,10,16,26,27,29,03
1156,17030,01,07,09,20,23,30,02
1157,17029,02,15,21,23,25,30,10
1158,17028,07,08,12,13,22,30,09
1159,17027,02,04,11,14,27,30,05
1160,17026,03,10,12,19,27,30,08
1161,17025,02,15,16,17,22,32,07
1162,17024,09,21,25,26,29,31,13
1163,17023,01,03,04,11,18,22,14
1164,17022,02,06,15,16,18,32,15
1165,17021,02,05,10,22,32,33,09
1166,17020,04,08,10,12,31,33,10
1167,17019,04,06,08,12,23,25,08
1168,17018,01,02,03,17,25,31,09
1169,17017,03,07,08,10,22,23,12
1170,17016,05,08,16,22,27,29,02
1171,17015,01,08,09,14,17,32,01
1172,17014,06,08,18,20,23,31,13
1173,17013,08,11,28,29,31,33,06
1174,17012,10,11,14,15,16,24,07
1175,17011,10,11,12,23,26,29,16
1176,17010,05,08,19,25,28,30,07
1177,17009,02,06,08,09,15,29,14
1178,17008,07,13,15,27,28,29,13
1179,17007,02,04,05,24,26,33,15
1180,17006,02,04,08,26,29,33,08
1181,17005,06,11,12,22,23,30,05
1182,17004,05,13,17,26,27,30,07
1183,17003,01,04,08,15,27,32,16
1184,17002,15,19,23,24,25,32,03
1185,17001,09,11,14,20,25,26,15
1186,16153,07,09,16,24,25,29,06
1187,16152,02,08,09,16,20,22,07
1188,16151,06,11,16,20,22,33,07
1189,16150,02,04,05,09,13,21,05
1190,16149,03,20,23,26,32,33,07
1191,16148,01,02,11,20,26,30,14
1192,16147,04,14,18,28,31,32,12
1193,16146,03,07,15,16,17,23,10
1194,16145,01,03,07,12,19,20,06
1195,16144,04,10,12,27,32,33,05
1196,16143,06,09,23,24,25,33,13
1197,16142,01,10,17,21,23,30,12
1198,16141,04,13,15,17,21,24,15
1199,16140,01,02,05,17,26,32,10
1200,16139,01,06,19,26,28,30,03
1201,16138,07,16,20,24,25,30,07
1202,16137,01,06,09,10,15,32,14
1203,16136,02,07,10,20,27,29,03
1204,16135,02,08,10,18,20,33,12
1205,16134,11,12,13,14,18,33,13
1206,16133,15,16,21,22,27,33,15
1207,16132,05,08,13,19,27,28,07
1208,16131,04,10,18,19,25,27,02
1209,16130,03,17,21,23,27,28,01
1210,16129,05,06,08,21,31,33,14
1211,16128,04,09,11,17,26,27,13
1212,16127,07,12,17,26,29,31,16
1213,16126,02,06,12,17,18,19,10
1214,16125,01,06,08,20,27,30,03
1215,16124,09,15,21,24,27,32,10
1216,16123,07,09,12,14,20,27,16
1217,16122,15,22,23,24,28,29,08
1218,16121,02,03,10,23,25,28,09
1219,16120,02,05,06,21,25,28,09
1220,16119,09,19,21,30,31,32,04
1221,16118,09,14,22,23,31,33,14
1222,16117,03,10,14,17,28,33,02
1223,16116,07,18,20,23,27,31,13
1224,16115,06,08,20,22,26,27,09
1225,16114,05,16,20,22,27,29,09
1226,16113,01,11,16,17,20,26,14
1227,16112,06,12,14,15,18,25,12
1228,16111,02,04,07,14,15,32,04
1229,16110,05,07,28,31,32,33,08
1230,16109,09,11,15,16,27,33,05
1231,16108,02,03,07,08,19,26,16
1232,16107,06,11,18,26,27,32,01
1233,16106,04,05,13,22,25,30,04
1234,16105,08,10,19,27,28,31,16
1235,16104,05,09,11,18,30,31,04
1236,16103,01,05,13,19,24,27,11
1237,16102,05,08,10,14,17,30,13
1238,16101,01,03,19,24,32,33,01
1239,16100,03,10,22,23,27,29,04
1240,16099,01,11,21,23,27,33,06
1241,16098,02,08,25,29,31,32,06
1242,16097,06,13,25,26,28,31,01
1243,16096,06,13,14,21,22,24,16
1244,16095,01,05,09,12,18,32,12
1245,16094,06,07,10,12,18,31,10
1246,16093,06,09,15,17,25,27,09
1247,16092,02,13,15,23,24,29,06
1248,16091,04,08,14,22,23,28,07
1249,16090,02,13,17,20,21,26,07
1250,16089,01,03,14,30,31,32,08
1251,16088,03,14,16,18,25,33,15
1252,16087,02,03,10,11,14,21,12
1253,16086,09,10,11,12,15,32,05
1254,16085,01,12,19,20,21,25,16
1255,16084,02,04,12,18,24,26,05
1256,16083,09,16,17,24,30,31,04
1257,16082,06,12,14,15,17,20,09
1258,16081,02,06,15,25,30,32,07
1259,16080,01,16,17,24,25,32,14
1260,16079,01,03,10,12,24,28,02
1261,16078,02,04,08,23,26,29,02
1262,16077,01,09,17,19,20,29,10
1263,16076,07,08,13,22,30,32,01
1264,16075,01,03,06,16,29,32,07
1265,16074,06,10,11,12,20,25,12
1266,16073,09,11,12,15,16,20,13
1267,16072,05,16,19,22,24,25,02
1268,16071,19,21,26,28,29,32,01
1269,16070,03,06,11,18,23,29,01
1270,16069,08,10,11,20,21,27,11
1271,16068,08,19,23,28,31,32,01
1272,16067,09,13,18,20,27,31,04
1273,16066,03,07,13,18,19,20,05
1274,16065,13,16,22,25,26,27,14
1275,16064,03,12,14,17,19,26,03
1276,16063,16,17,18,23,28,32,07
1277,16062,12,13,15,18,19,21,09
1278,16061,05,06,08,18,20,32,08
1279,16060,04,05,22,26,29,32,08
1280,16059,04,11,12,20,25,28,15
1281,16058,03,05,18,20,24,32,11
1282,16057,07,12,19,22,23,26,11
1283,16056,03,04,08,11,16,18,14
1284,16055,05,06,10,16,22,26,11
1285,16054,06,11,16,19,28,32,04
1286,16053,02,08,10,12,29,31,01
1287,16052,01,06,13,19,24,28,16
1288,16051,01,02,04,09,15,33,12
1289,16050,09,12,24,28,29,30,02
1290,16049,06,08,13,14,22,27,10
1291,16048,03,08,13,14,15,30,04
1292,16047,02,05,08,15,17,22,16
1293,16046,07,20,25,26,27,30,14
1294,16045,04,09,12,17,30,32,03
1295,16044,01,03,10,12,18,30,01
1296,16043,05,14,20,26,30,33,12
1297,16042,07,14,17,23,26,31,09
1298,16041,12,17,18,21,22,24,04
1299,16040,03,13,19,20,23,26,03
1300,16039,01,03,07,18,19,27,16
1301,16038,03,12,13,22,28,29,03
1302,16037,06,15,26,31,32,33,16
1303,16036,03,04,07,09,20,22,03
1304,16035,04,13,19,20,26,29,11
1305,16034,03,15,21,22,23,28,15
1306,16033,06,17,18,20,27,29,15
1307,16032,08,12,14,15,21,27,15
1308,16031,03,08,10,19,26,33,03
1309,16030,10,14,19,22,25,29,12
1310,16029,12,15,18,20,21,27,15
1311,16028,06,08,12,21,25,29,01
1312,16027,11,13,15,17,19,31,05
1313,16026,04,09,12,28,30,33,01
1314,16025,04,11,12,17,24,30,12
1315,16024,02,05,07,14,18,31,13
1316,16023,03,06,10,19,25,29,07
1317,16022,04,09,19,22,23,30,07
1318,16021,09,11,13,22,24,26,05
1319,16020,01,02,10,12,22,24,10
1320,16019,06,13,16,17,23,30,10
1321,16018,12,13,14,17,21,25,04
1322,16017,05,06,08,20,22,30,05
1323,16016,01,20,22,24,25,26,16
1324,16015,01,02,14,22,25,26,07
1325,16014,02,08,10,18,20,27,07
1326,16013,07,12,21,22,26,31,01
1327,16012,07,12,14,16,27,32,15
1328,16011,03,08,10,15,22,29,12
1329,16010,02,04,12,14,19,25,06
1330,16009,10,14,24,25,27,32,04
1331,16008,02,15,24,29,32,33,02
1332,16007,05,12,14,20,27,29,06
1333,16006,13,16,18,20,28,31,12
1334,16005,11,14,18,20,31,33,14
1335,16004,08,10,17,22,25,33,12
1336,16003,01,10,14,23,26,28,01
1337,16002,09,14,17,20,24,30,16
1338,16001,06,13,16,18,20,22,13
1339,15154,07,09,11,15,18,25,07
1340,15153,08,11,15,22,27,29,03
1341,15152,11,18,19,21,29,32,12
1342,15151,05,06,08,23,31,32,11
1343,15150,01,03,08,11,29,31,13
1344,15149,09,10,20,21,22,33,09
1345,15148,09,13,14,22,26,27,07
1346,15147,08,09,16,23,24,30,05
1347,15146,16,17,21,28,30,32,15
1348,15145,07,08,15,19,20,24,13
1349,15144,01,04,07,15,28,32,16
1350,15143,13,15,19,20,21,32,04
1351,15142,13,17,19,20,22,25,11
1352,15141,03,08,19,25,27,28,02
1353,15140,06,20,28,29,30,31,12
1354,15139,01,10,13,18,25,27,09
1355,15138,01,02,08,16,19,24,11
1356,15137,14,22,23,27,28,31,12
1357,15136,02,05,12,23,28,29,01
1358,15135,01,12,14,18,26,32,07
1359,15134,02,05,14,19,27,31,04
1360,15133,02,03,13,20,22,24,15
1361,15132,03,05,11,28,30,33,01
1362,15131,10,12,13,19,22,26,03
1363,15130,06,14,15,16,17,22,10
1364,15129,05,08,11,16,18,27,04
1365,15128,01,03,08,11,22,28,06
1366,15127,07,10,19,22,27,33,06
1367,15126,10,11,15,20,23,29,12
1368,15125,05,13,22,27,30,33,10
1369,15124,02,03,05,12,18,27,01
1370,15123,05,08,09,12,22,28,07
1371,15122,05,07,11,16,22,25,07
1372,15121,01,03,20,21,28,29,12
1373,15120,16,21,24,26,27,29,16
1374,15119,02,08,10,18,23,31,08
1375,15118,01,04,11,21,23,31,12
1376,15117,04,11,12,18,26,32,12
1377,15116,04,06,15,23,26,28,11
1378,15115,01,07,08,14,24,32,03
1379,15114,04,07,09,13,21,26,01
1380,15113,01,05,07,08,19,27,12
1381,15112,01,03,10,19,20,27,11
1382,15111,08,14,16,18,20,30,12
1383,15110,05,07,16,17,22,23,04
1384,15109,01,08,09,16,32,33,13
1385,15108,02,12,19,22,24,27,15
1386,15107,07,14,16,18,21,25,08
1387,15106,01,03,04,23,31,32,13
1388,15105,09,10,16,19,20,26,12
1389,15104,09,18,21,23,25,26,01
1390,15103,06,08,13,26,30,32,14
1391,15102,07,09,12,14,21,23,06
1392,15101,08,16,22,24,28,29,05
1393,15100,02,03,11,17,19,21,08
1394,15099,06,07,10,11,14,22,09
1395,15098,06,09,13,26,27,33,01
1396,15097,09,12,14,20,26,27,04
1397,15096,06,16,17,23,24,31,07
1398,15095,04,15,21,28,30,31,04
1399,15094,01,04,06,13,16,17,10
1400,15093,01,03,13,21,25,31,08
1401,15092,09,15,19,21,26,27,01
1402,15091,05,07,17,19,22,31,11
1403,15090,10,12,14,22,25,33,15
1404,15089,12,14,19,27,28,29,01
1405,15088,02,12,20,24,29,31,09
1406,15087,09,15,16,19,20,28,11
1407,15086,05,06,08,16,18,22,12
1408,15085,02,08,25,27,28,29,05
1409,15084,15,18,20,22,28,29,15
1410,15083,06,07,16,18,29,32,05
1411,15082,02,08,09,14,28,30,07
1412,15081,13,20,22,26,28,31,13
1413,15080,14,17,25,27,28,30,02
1414,15079,09,14,15,20,26,32,11
1415,15078,03,07,20,22,26,29,02
1416,15077,01,06,08,10,13,27,16
1417,15076,01,09,10,19,23,27,09
1418,15075,06,11,13,19,21,32,04
1419,15074,04,07,21,25,26,29,08
1420,15073,01,02,17,22,26,27,04
1421,15072,01,03,05,20,21,31,05
1422,15071,08,18,20,28,29,31,08
1423,15070,01,07,13,19,21,29,15
1424,15069,01,13,17,18,23,30,15
1425,15068,06,15,18,21,26,27,10
1426,15067,02,05,08,24,25,31,14
1427,15066,05,08,11,17,24,28,16
1428,15065,08,10,14,19,26,29,12
1429,15064,11,12,14,17,23,27,01
1430,15063,01,07,09,16,22,32,12
1431,15062,09,14,15,18,21,26,16
1432,15061,06,18,22,26,32,33,04
1433,15060,01,03,18,27,31,32,13
1434,15059,02,06,09,16,25,32,14
1435,15058,02,09,10,18,19,20,15
1436,15057,09,20,24,25,26,32,04
