,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
166,23128,07,16,20,21,27,33,01
167,23127,03,08,19,22,26,32,14
168,23126,10,24,26,28,29,31,16
169,23125,11,14,15,27,30,33,04
170,23124,02,03,17,18,25,30,11
171,23123,10,13,15,22,29,32,15
172,23122,07,08,14,18,20,30,05
173,23121,02,12,16,25,30,31,12
174,23120,03,08,13,24,27,29,08
175,23119,01,02,03,19,21,28,15
176,23118,01,02,11,19,25,29,04
177,23117,02,11,14,17,18,28,08
178,23116,02,08,09,13,24,27,12
179,23115,02,07,16,21,26,27,16
180,23114,07,09,15,16,17,26,09
181,23113,01,02,13,18,25,27,03
182,23112,09,12,13,22,24,31,04
183,23111,05,06,12,17,20,33,09
184,23110,02,06,20,25,29,33,16
185,23109,06,08,10,13,16,28,13
186,23108,01,03,06,08,18,24,09
187,23107,03,07,18,25,29,33,14
188,23106,07,09,10,20,22,24,07
189,23105,01,03,05,26,30,32,16
190,23104,10,19,23,25,30,31,12
191,23103,05,06,13,24,25,29,15
192,23102,01,09,10,13,21,28,10
193,23101,01,05,09,15,18,26,04
194,23100,05,06,12,15,23,25,04
195,23099,09,11,14,19,27,33,05
196,23098,02,10,11,14,21,27,11
197,23097,01,09,14,19,29,30,15
198,23096,08,11,18,26,31,32,15
199,23095,03,08,16,17,22,26,11
200,23094,06,10,12,14,30,31,12
201,23093,10,21,24,25,27,32,07
202,23092,03,12,24,25,32,33,13
203,23091,16,20,22,26,30,32,16
204,23090,01,02,09,26,30,31,07
205,23089,08,13,15,27,28,31,11
206,23088,01,14,18,26,31,33,05
207,23087,02,09,15,17,28,33,01
208,23086,08,09,10,22,26,32,12
209,23085,11,18,23,24,31,33,13
210,23084,09,13,14,17,19,27,03
211,23083,07,10,12,16,17,30,12
212,23082,04,18,19,24,27,30,16
213,23081,01,11,15,16,22,31,15
214,23080,01,02,04,09,25,31,08
215,23079,05,06,09,12,21,22,07
216,23078,06,08,14,19,30,31,08
217,23077,07,09,14,22,26,27,01
218,23076,03,04,15,18,19,22,09
219,23075,13,15,24,28,30,31,01
220,23074,02,08,09,18,19,21,03
221,23073,01,03,15,16,25,32,10
222,23072,02,06,10,24,25,33,09
223,23071,05,12,15,19,24,26,06
224,23070,03,05,25,31,32,33,04
225,23069,12,14,17,20,21,26,02
226,23068,11,12,15,18,29,33,02
227,23067,01,03,12,19,28,32,14
228,23066,02,07,08,10,26,31,06
229,23065,02,14,17,20,26,33,14
230,23064,01,07,11,12,16,18,04
231,23063,04,08,17,20,22,27,13
232,23062,11,19,23,24,26,33,15
233,23061,01,04,06,11,12,22,15
234,23060,09,11,17,19,30,31,11
235,23059,02,06,13,22,27,32,06
236,23058,10,17,22,26,30,33,11
237,23057,02,05,10,17,24,32,03
238,23056,08,14,15,18,23,33,08
239,23055,03,04,20,23,27,32,13
240,23054,05,06,09,10,15,26,12
241,23053,01,07,14,20,27,30,15
242,23052,03,04,05,08,12,17,06
243,23051,22,26,29,30,32,33,14
244,23050,02,07,09,14,22,23,05
245,23049,05,07,14,23,25,27,02
246,23048,02,03,10,24,28,30,08
247,23047,05,07,14,23,31,33,07
248,23046,06,08,17,25,26,28,03
249,23045,03,06,12,21,27,28,04
250,23044,02,08,15,22,24,26,16
251,23043,05,08,12,20,24,28,10
252,23042,10,17,20,23,27,30,10
253,23041,01,06,12,13,15,24,06
254,23040,09,16,17,24,29,31,08
255,23039,02,03,09,13,19,28,09
256,23038,02,09,14,17,31,33,08
257,23037,08,23,25,26,29,31,12
258,23036,13,14,18,19,24,30,09
259,23035,01,04,09,10,20,33,06
260,23034,02,03,09,11,12,17,15
261,23033,08,09,13,23,24,26,05
262,23032,06,19,20,26,28,33,01
263,23031,07,14,27,29,31,33,05
264,23030,02,03,07,16,30,31,06
265,23029,03,07,12,24,28,33,08
266,23028,05,07,10,17,20,22,14
267,23027,08,10,22,27,32,33,08
268,23026,01,18,26,30,31,33,03
269,23025,04,16,20,21,31,32,14
270,23024,03,06,09,17,27,28,03
271,23023,05,08,10,15,24,25,09
272,23022,10,11,18,19,23,31,03
273,23021,02,05,06,19,21,27,04
274,23020,01,12,17,18,26,27,05
275,23019,06,12,26,28,29,32,15
276,23018,10,12,17,19,25,31,13
277,23017,05,11,18,20,26,28,12
278,23016,14,16,19,23,28,30,03
279,23015,02,03,14,21,29,32,08
280,23014,06,07,18,23,27,30,05
281,23013,06,10,14,22,23,33,13
282,23012,03,04,07,22,26,30,06
283,23011,06,07,16,17,21,22,04
284,23010,04,05,13,18,27,29,12
285,23009,03,04,19,23,30,32,06
286,23008,05,13,18,20,26,28,06
287,23007,05,06,09,22,25,31,03
288,23006,02,10,12,14,24,26,05
289,23005,02,06,08,13,14,19,16
290,23004,01,07,15,16,20,25,16
291,23003,05,08,18,25,30,32,06
292,23002,02,06,10,16,18,22,13
293,23001,09,16,18,22,28,32,02
294,22150,01,07,11,12,22,28,05
295,22149,02,22,26,29,32,33,14
296,22148,02,15,16,17,21,31,14
297,22147,02,03,07,13,20,30,10
298,22146,06,07,13,18,26,31,06
299,22145,03,21,25,30,31,33,11
300,22144,07,20,22,23,31,32,05
301,22143,07,08,13,29,30,33,03
302,22142,01,03,13,16,21,27,03
303,22141,05,12,13,17,20,27,14
304,22140,08,09,18,19,20,27,15
305,22139,06,07,09,16,17,19,14
306,22138,02,14,19,21,25,28,11
307,22137,08,21,23,27,28,33,01
308,22136,08,10,14,15,18,22,08
309,22135,09,11,13,24,28,32,06
310,22134,01,05,14,17,24,31,14
311,22133,05,08,16,17,21,25,12
312,22132,01,03,18,26,32,33,04
313,22131,03,05,10,13,19,29,06
314,22130,02,08,15,17,26,28,12
315,22129,10,12,14,22,24,27,07
316,22128,03,12,18,24,27,29,01
317,22127,03,04,09,10,29,33,13
318,22126,01,13,15,17,26,33,13
319,22125,02,03,07,12,20,31,16
320,22124,05,10,13,18,24,26,01
321,22123,10,13,16,20,21,25,05
322,22122,06,08,17,19,24,28,05
323,22121,12,17,22,27,30,31,02
324,22120,02,15,19,26,27,29,02
325,22119,02,05,15,18,26,27,04
326,22118,02,06,07,11,14,33,08
327,22117,04,13,17,18,28,29,06
328,22116,08,14,26,27,30,33,01
329,22115,06,07,18,20,27,29,09
330,22114,01,05,15,19,26,29,13
331,22113,13,14,20,24,27,29,02
332,22112,03,05,08,17,25,31,01
333,22111,02,10,11,13,28,31,01
334,22110,09,13,15,18,20,28,15
335,22109,04,11,13,19,22,33,11
336,22108,01,07,13,17,18,31,15
337,22107,03,09,11,15,19,28,16
338,22106,17,20,22,23,24,31,01
339,22105,06,12,13,15,21,23,15
340,22104,01,08,19,25,26,31,01
341,22103,06,09,12,14,20,28,10
342,22102,09,10,12,18,29,32,14
343,22101,04,16,18,19,27,28,04
344,22100,02,06,07,15,20,21,15
345,22099,01,11,23,24,26,32,15
