STT,Day,Num1,Num2,Num3,Num4,Num5,Num6,NumS
0,T5-2312025,11,18,22,49,50,51,37
1,T3-2112025,11,18,22,28,51,52,53
2,T7-1812025,1,3,26,31,37,41,51
3,T5-1612025,8,16,34,37,47,50,23
4,T3-1412025,3,11,12,24,33,40,46
5,T7-1112025,10,25,26,29,37,46,14
6,T5-912025,18,21,31,39,50,53,13
7,T3-712025,4,5,9,16,22,39,30
8,T7-412025,4,10,30,36,40,53,51
9,T5-212025,4,10,18,22,41,45,50
10,T3-31122024,8,13,29,36,42,43,28
11,T7-28122024,6,19,36,42,53,55,39
12,T5-26122024,6,18,33,38,41,48,16
13,T3-24122024,17,20,27,32,44,51,33
14,T7-21122024,4,16,29,30,35,51,48
15,T5-19122024,13,16,32,39,49,51,11
16,T3-17122024,2,14,27,30,53,54,16
17,T7-14122024,3,10,19,20,21,24,7
18,T5-12122024,1,9,12,18,37,44,11
19,T3-10122024,11,15,26,45,52,55,36
20,T7-7122024,16,17,22,24,29,37,54
21,T5-5122024,16,21,29,41,42,47,9
22,T3-3122024,10,19,33,39,47,54,16
23,T7-30112024,1,20,24,26,38,41,36
24,T5-28112024,1,16,24,28,38,53,9
25,T3-26112024,8,11,16,32,40,43,12
26,T7-23112024,4,12,25,39,48,51,45
27,T5-21112024,15,22,31,40,42,51,26
28,T3-19112024,6,10,17,34,41,48,31
29,T7-16112024,16,22,33,37,39,51,54
30,T5-14112024,12,25,37,40,49,52,31
31,T3-12112024,1,21,29,35,41,45,20
32,T7-9112024,11,14,24,26,34,51,40
33,T5-7112024,6,9,33,39,50,51,43
34,T3-5112024,9,31,36,46,49,54,7
35,T7-2112024,2,9,19,20,34,54,26
36,T5-31102024,5,16,20,29,30,31,39
37,T3-29102024,14,17,19,28,47,51,55
38,T7-26102024,5,19,27,29,42,47,40
39,T5-24102024,5,17,31,39,46,53,3
40,T3-22102024,15,21,23,26,31,43,35
41,T7-19102024,9,22,31,39,43,51,19
